company_names,about,jobs,location,salaries,reviews,interviews,ratings
ElasticRun,Logistics,1,Pune,6.2k,2.7k,275,3.6
Capita,BPO,54,Pune,12.9k,2.7k,165,3.5
KFintech,Financial Services,--,Hyderabad,11.1k,2.6k,173,3.4
G4S,Law Enforcement & Security,738,Gurugram,5.1k,2.6k,128,4.0
Voltas,Consumer Electronics & Appliances,9,Mumbai,8.6k,2.6k,176,4.0
Exl India,Logistics,1,New Delhi,15.7k,2.6k,130,3.5
Blue Star,Consumer Electronics & Appliances,33,Mumbai,9.8k,2.6k,199,4.1
Sonalika Tractors,Automobile,2,Hoshiarpur,9k,2.6k,172,3.6
Ajanta Pharma,Pharma,10,Mumbai,8.9k,2.6k,166,3.9
BlackBuck,Internet,18,Bengaluru,6.3k,2.6k,213,3.7
Care Health Insurance,Insurance,55,Gurugram,8.6k,2.6k,161,3.6
Domino's Pizza,Hospitality,--,New Delhi,4.3k,2.6k,125,3.9
Movate,IT Services & Consulting,75,Chennai,14.9k,2.6k,294,3.1
Gallagher,Insurance,116,Bengaluru,14.2k,2.6k,270,3.7
Physicswallah,EdTech,217,Noida,8.4k,2.6k,279,3.6
NoBroker,Internet,331,Bengaluru,10.7k,2.6k,283,3.0
Fortis Healthcare,Healthcare,809,New Delhi,7.6k,2.6k,192,4.0
Adani Power,Power,--,Mundra,9.8k,2.6k,314,3.7
Himalaya Wellness,Pharma,44,Bengaluru,6.1k,2.6k,148,4.0
DBS Bank,Banking,202,Hyderabad,13.2k,2.5k,195,3.7
Foxconn,Electronics Manufacturing,19,Chennai,10.6k,2.5k,231,3.9
ACT Fibernet,Telecom,146,Hyderabad,7.8k,2.5k,159,3.9
Tata Advanced Systems,Defence & Aerospace,--,Bengaluru,12.8k,2.5k,187,3.7
Foundever,BPO,87,Hyderabad,8.8k,2.5k,180,3.3
Sahrudaya Healthcare (Medicover Hospitals),Healthcare,27,Hyderabad,3.5k,2.5k,145,4.4
Photon Interactive,IT Services & Consulting,787,Chennai,7.4k,2.5k,133,4.1
BT Group,Telecom,4,Gurugram,11.5k,2.5k,227,3.8
